0,1.000,22.080,11.460,2.000,4.000,4.000,1.585,0.000,0.000,0.000,1.000,2.000,100.000,1213.000,1.000
1,0.000,22.670,7.000,2.000,8.000,4.000,0.165,0.000,0.000,0.000,0.000,2.000,160.000,1.000,1.000
2,0.000,29.580,1.750,1.000,4.000,4.000,1.250,0.000,0.000,0.000,1.000,2.000,280.000,1.000,1.000
3,0.000,21.670,11.500,1.000,5.000,3.000,0.000,1.000,1.000,11.000,1.000,2.000,0.000,1.000,2.000
4,1.000,20.170,8.170,2.000,6.000,4.000,1.960,1.000,1.000,14.000,0.000,2.000,60.000,159.000,2.000
5,0.000,15.830,0.585,2.000,8.000,8.000,1.500,1.000,1.000,2.000,0.000,2.000,100.000,1.000,2.000
6,1.000,17.420,6.500,2.000,3.000,4.000,0.125,0.000,0.000,0.000,0.000,2.000,60.000,101.000,1.000
7,0.000,58.670,4.460,2.000,11.000,8.000,3.040,1.000,1.000,6.000,0.000,2.000,43.000,561.000,2.000
8,1.000,27.830,1.000,1.000,2.000,8.000,3.000,0.000,0.000,0.000,0.000,2.000,176.000,538.000,1.000
9,0.000,55.750,7.080,2.000,4.000,8.000,6.750,1.000,1.000,3.000,1.000,2.000,100.000,51.000,1.000
10,1.000,33.500,1.750,2.000,14.000,8.000,4.500,1.000,1.000,4.000,1.000,2.000,253.000,858.000,2.000
11,1.000,41.420,5.000,2.000,11.000,8.000,5.000,1.000,1.000,6.000,1.000,2.000,470.000,1.000,2.000
12,1.000,20.670,1.250,1.000,8.000,8.000,1.375,1.000,1.000,3.000,1.000,2.000,140.000,211.000,1.000
13,1.000,34.920,5.000,2.000,14.000,8.000,7.500,1.000,1.000,6.000,1.000,2.000,0.000,1001.000,2.000
14,1.000,58.580,2.710,2.000,8.000,4.000,2.415,0.000,0.000,0.000,1.000,2.000,320.000,1.000,1.000
15,1.000,48.080,6.040,2.000,4.000,4.000,0.040,0.000,0.000,0.000,0.000,2.000,0.000,2691.000,2.000
16,1.000,29.580,4.500,2.000,9.000,4.000,7.500,1.000,1.000,2.000,1.000,2.000,330.000,1.000,2.000
17,0.000,18.920,9.000,2.000,6.000,4.000,0.750,1.000,1.000,2.000,0.000,2.000,88.000,592.000,2.000
18,1.000,20.000,1.250,1.000,4.000,4.000,0.125,0.000,0.000,0.000,0.000,2.000,140.000,5.000,1.000
19,0.000,22.420,5.665,2.000,11.000,4.000,2.585,1.000,1.000,7.000,0.000,2.000,129.000,3258.000,2.000
20,0.000,28.170,0.585,2.000,6.000,4.000,0.040,0.000,0.000,0.000,0.000,2.000,260.000,1005.000,1.000
21,0.000,19.170,0.585,1.000,6.000,4.000,0.585,1.000,0.000,0.000,1.000,2.000,160.000,1.000,1.000
22,1.000,41.170,1.335,2.000,2.000,4.000,0.165,0.000,0.000,0.000,0.000,2.000,168.000,1.000,1.000
23,1.000,41.580,1.750,2.000,4.000,4.000,0.210,1.000,0.000,0.000,0.000,2.000,160.000,1.000,1.000
24,1.000,19.500,9.585,2.000,6.000,4.000,0.790,0.000,0.000,0.000,0.000,2.000,80.000,351.000,1.000
25,1.000,32.750,1.500,2.000,13.000,8.000,5.500,1.000,1.000,3.000,1.000,2.000,0.000,1.000,2.000
26,1.000,22.500,0.125,1.000,4.000,4.000,0.125,0.000,0.000,0.000,0.000,2.000,200.000,71.000,1.000
27,1.000,33.170,3.040,1.000,8.000,8.000,2.040,1.000,1.000,1.000,1.000,2.000,180.000,18028.000,2.000
