1,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,1,2
3,0,0,0,0,0,1,0,2
4,0,0,0,0,0,1,1,1
5,0,0,0,0,1,0,0,1
6,0,0,0,0,1,0,1,2
7,0,0,0,0,1,1,0,2
8,0,0,0,0,1,1,1,1
9,0,0,0,1,0,0,0,1
10,0,0,0,1,0,0,1,2
11,0,0,0,1,0,1,0,2
12,0,0,0,1,0,1,1,1
13,0,0,0,1,1,0,0,1
14,0,0,0,1,1,0,1,2
15,0,0,0,1,1,1,0,2
16,0,0,0,1,1,1,1,1
17,0,0,1,0,0,0,0,1
18,0,0,1,0,0,0,1,2
19,0,0,1,0,0,1,0,2
20,0,0,1,0,0,1,1,1
21,0,0,1,0,1,0,0,1
22,0,0,1,0,1,0,1,2
23,0,0,1,0,1,1,0,2
24,0,0,1,0,1,1,1,1
25,0,0,1,1,0,0,0,1
26,0,0,1,1,0,0,1,1
27,0,0,1,1,0,1,0,1
28,0,0,1,1,0,1,1,1
29,0,0,1,1,1,0,0,1
30,0,0,1,1,1,0,1,2
31,0,0,1,1,1,1,0,2
32,0,0,1,1,1,1,1,1
33,0,1,0,0,0,0,0,1
34,0,1,0,0,0,0,1,2
35,0,1,0,0,0,1,0,2
36,0,1,0,0,0,1,1,1
37,0,1,0,0,1,0,0,1
38,0,1,0,0,1,0,1,2
39,0,1,0,0,1,1,0,2
40,0,1,0,0,1,1,1,1
41,0,1,0,1,0,0,0,1
42,0,1,0,1,0,0,1,2
43,0,1,0,1,0,1,0,2
44,0,1,0,1,0,1,1,1
45,0,1,0,1,1,0,0,1
46,0,1,0,1,1,0,1,2
47,0,1,0,1,1,1,0,2
48,0,1,0,1,1,1,1,1
49,0,1,1,0,0,0,0,1
50,0,1,1,0,0,0,1,2
51,0,1,1,0,0,1,0,2
52,0,1,1,0,0,1,1,1
53,0,1,1,0,1,0,0,1
54,0,1,1,0,1,0,1,2
55,0,1,1,0,1,1,0,2
56,0,1,1,0,1,1,1,1
57,0,1,1,1,0,0,0,1
58,0,1,1,1,0,0,1,1
59,0,1,1,1,0,1,0,1
60,0,1,1,1,0,1,1,1
61,0,1,1,1,1,0,0,1
62,0,1,1,1,1,0,1,2
63,0,1,1,1,1,1,0,2
64,0,1,1,1,1,1,1,1
65,1,0,0,0,0,0,0,1
66,1,0,0,0,0,0,1,2
67,1,0,0,0,0,1,0,2
68,1,0,0,0,0,1,1,1
69,1,0,0,0,1,0,0,1
70,1,0,0,0,1,0,1,2
71,1,0,0,0,1,1,0,2
72,1,0,0,0,1,1,1,1
73,1,0,0,1,0,0,0,1
74,1,0,0,1,0,0,1,2
75,1,0,0,1,0,1,0,2
76,1,0,0,1,0,1,1,1
77,1,0,0,1,1,0,0,1
78,1,0,0,1,1,0,1,2
79,1,0,0,1,1,1,0,2
80,1,0,0,1,1,1,1,1
81,1,0,1,0,0,0,0,1
82,1,0,1,0,0,0,1,1
83,1,0,1,0,0,1,0,1
84,1,0,1,0,0,1,1,1
85,1,0,1,0,1,0,0,1
86,1,0,1,0,1,0,1,2
87,1,0,1,0,1,1,0,2
88,1,0,1,0,1,1,1,1
89,1,0,1,1,0,0,0,1
90,1,0,1,1,0,0,1,1
91,1,0,1,1,0,1,0,1
92,1,0,1,1,0,1,1,1
93,1,0,1,1,1,0,0,1
94,1,0,1,1,1,0,1,2
95,1,0,1,1,1,1,0,2
96,1,0,1,1,1,1,1,1
97,1,1,0,0,0,0,0,1
98,1,1,0,0,0,0,1,1
99,1,1,0,0,0,1,0,1
100,1,1,0,0,0,1,1,1

